,filename,variables,clauses,SAT,time_cryptosat,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
30,randN100_K3_R4.3_L430_197.cnf,100,430,False,0.001826,UNSAT,1.754849,304,7876,UNSAT,3.081037,492,12396,UNSAT,3.870261,526,13151,UNSAT,3.228706,555,11852
31,randN100_K3_R4.3_L430_219.cnf,100,430,False,0.001896,UNSAT,2.686263,378,10796,UNSAT,9.250371,891,25337,UNSAT,7.427098,808,19716,UNSAT,5.422556,686,17825
32,randN100_K3_R4.3_L430_149.cnf,100,430,False,0.001631,UNSAT,1.229688,227,6230,UNSAT,1.78993,322,9022,UNSAT,2.827718,435,10661,UNSAT,2.174325,424,9613
33,randN100_K3_R4.3_L430_232.cnf,100,430,False,0.001911,UNSAT,3.038654,429,11440,UNSAT,3.2309,517,12973,UNSAT,5.354686,708,16788,UNSAT,2.712922,494,11421
34,randN100_K3_R4.3_L430_230.cnf,100,430,False,0.002098,UNSAT,4.256211,527,14299,UNSAT,3.32581,487,14048,UNSAT,2.785264,434,10781,UNSAT,1.968904,381,8904
35,randN100_K3_R4.3_L430_224.cnf,100,430,False,0.001409,UNSAT,1.682771,278,7755,UNSAT,1.582346,287,8273,UNSAT,1.652931,259,7850,UNSAT,2.875316,486,12247
36,randN100_K3_R4.3_L430_252.cnf,100,430,False,0.001781,UNSAT,2.202547,333,9039,UNSAT,1.22322,261,6966,UNSAT,1.683559,285,7853,UNSAT,3.35871,552,13098
37,randN100_K3_R4.3_L430_161.cnf,100,430,False,0.001002,UNSAT,1.563394,272,7450,UNSAT,1.023648,234,5831,UNSAT,1.317433,265,6221,UNSAT,1.603981,319,7838
38,randN100_K3_R4.3_L430_164.cnf,100,430,False,0.001352,UNSAT,2.234041,356,9194,UNSAT,2.927117,503,12285,UNSAT,2.359361,388,9329,UNSAT,2.790473,532,11477
39,randN100_K3_R4.3_L430_10.cnf,100,430,False,0.003291,UNSAT,1.35402,223,6698,UNSAT,10.006773,986,25396,UNSAT,11.012689,974,25300,UNSAT,10.347987,1087,25690
40,randN100_K3_R4.3_L430_100.cnf,100,430,False,0.003856,UNSAT,4.276344,516,14741,UNSAT,11.060568,1063,28335,UNSAT,11.115498,993,25907,UNSAT,10.427351,1074,25991
41,randN100_K3_R4.3_L430_179.cnf,100,430,False,0.002418,UNSAT,5.691359,616,17518,UNSAT,4.318128,618,15649,UNSAT,4.082418,537,14174,UNSAT,6.343334,809,20236
